Smiles,Y,TI1,TI2,Rww,MAXDP,DELS,TIE,S3K,PHI,MPC07,MPC08,MPC09,MPC10,X4v,DP04,SP06,J3D,HOMA,HOMT,DISPv,RDF090u,RDF030m,RDF085m,RDF010v,RDF020v,RDF080v,RDF085v,RDF070e,RDF085e,RDF020p,RDF080p,RDF090p,Mor03m,Mor04m,Mor05m,Mor08m,Mor12m,Mor19m,Mor21m,Mor27m,Mor11v,Mor18e,Mor10p,Mor11p,Mor19p,L2m,L2v,Ts,RCON,RTe,TPSA(NO)
Cc1c(C)c2ccc(OCCCCSC(=S)N3CCCCC3)cc2oc1=O,1,123.474,7.004,24.254,4.843,22.518,50.276,5.49,7.62,73,73,73,63,4.56,6.757,7.076,3.028,0.605,6.052,3.715,6.434,8.028,5.567,2.271,1.61,3.803,4.361,27.406,12.132,2.057,4.771,2.302,-5.05,-0.108,-3.635,-0.626,0.63,0.13,-0.023,-0.217,-0.018,-0.742,0.254,-0.104,0.616,3.286,3.793,11.494,36.649,35.684,42.68
Cc1c(Cl)c(=O)oc2cc(OCCCCSC(=S)N3CCCCC3)ccc12,1,123.474,7.004,24.254,4.711,25.562,52.6,5.626,7.88,73,73,73,63,4.585,8.677,9.839,2.17,0.515,5.153,14.271,12.264,12.86,9.069,2.029,2.764,4.593,8.089,13.437,17.209,3.627,5.814,7.012,-5.566,-0.762,-4.707,-1.116,0.871,0.016,0.566,-0.123,-0.078,-0.277,0.4,-0.236,0.427,2.857,2.992,28.241,29.45,29.159,42.68
Cc1c(Cl)c(=O)oc2cc(OCCCCSC(=S)N3CCCCC3C)ccc12,1,131.737,7.22,25.812,4.731,26.437,57.18,5.662,8.094,75,76,75,65,5.03,7.311,7.772,2.869,0.606,6.063,5.458,16.697,10.687,7.668,2.154,1.609,11.058,5.834,30.159,18.13,2.022,13.465,5.825,-5.137,-1.761,-4.954,-1.047,0.187,-0.035,0.351,-0.244,-0.183,-1.055,-0.287,-0.327,0.589,5.534,6.132,15.126,33.322,33.454,42.68
Cc1c(Cl)c(=O)oc2cc(OCCCCSC(=S)N3C(C)CCCC3C)ccc12,1,139.641,7.389,27.417,4.752,27.354,62.021,5.69,8.312,77,79,77,67,5.594,9.484,10.91,2.19,0.616,6.158,18.851,22.629,10.924,5.916,2.311,1.561,6.902,7.352,18.454,16.011,1.965,8.239,10.256,-4.778,-2.417,-4.673,-1.352,0.584,0.159,0.087,-0.021,-0.36,-1.064,0.062,-0.601,0.86,1.613,1.764,40.602,29.986,29.985,42.68
CCOC(=O)c1cc2ccc(OCCCCSC(=S)N3CCCCC3)cc2oc1=O,1,150.4,7.226,30.36,5.038,34.916,67.693,6.802,9.186,86,94,95,84,4.575,10.11,12.246,1.822,0.615,7.384,6.122,13.087,4.09,10.224,2.25,1.836,4.634,10.461,16.597,24.66,2.291,6.072,4.604,-4.891,-1.594,-5.249,-1.755,0.969,-0.001,0.113,-0.396,-0.228,-1.515,-0.633,-0.336,0.624,1.216,1.16,48.893,26.05,27.198,68.98
O=c1cc(-c2ccccc2)c2ccc(OCCCCSC(=S)N3CCCCC3)cc2o1,1,223.422,7.136,25.595,5.067,23.27,51.617,6.12,8.061,108,118,124,117,5.132,9.855,11.736,1.624,0.585,9.948,18.099,14.524,5.785,8.39,2.367,2.546,6.491,8.677,22.163,19.297,3.24,8.233,6.33,-4.879,-1.63,-5.469,-1.867,1.38,-0.329,0.586,-0.443,0.014,-1.562,-0.537,-0.031,0.338,2.92,2.759,43.774,27.795,27.523,42.68
C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,0,31.106,3.607,20.447,4.759,17.684,33.906,3.472,4.917,63,69,58,51,2.346,6.59,7.031,2.969,0.471,2.826,5.88,7.945,4.166,0.982,1.848,1.655,5.579,2.137,22.207,9.507,2.077,6.37,2.437,-1.556,-0.755,-2.394,-1.488,0.57,-0.121,-0.187,-0.017,-0.185,-0.595,0.203,-0.3,0.262,4.017,4.649,11.892,25.356,25.722,41.57
C#CCn1c(-c2ccc(C(=O)N3CCN(CC=C)CC3)cc2)nc2ccccc21,1,158.114,4.575,23.357,5.862,21.067,45.198,3.922,5.689,131,145,152,165,3.931,8.493,9.827,1.929,0.557,10.581,15.421,20.667,7.597,8.925,2.277,4.829,7.269,9.709,23.01,19.91,5.417,8.254,9.479,-2.224,-1.825,-4.899,-1.16,1.143,-0.723,0.151,-0.061,0.121,-0.797,-0.151,0.055,-0.444,3.871,4.014,23.604,28.223,28.023,40.32
C#CCn1c(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)cc2)nc2ccccc21,1,187.221,5.109,27.534,5.982,20.834,50.214,4.764,6.604,135,153,164,173,4.131,8.897,10.281,1.99,0.558,10.602,23.516,24.451,8.834,10.511,2.602,4.978,8.634,11.788,29.023,26.181,5.556,9.569,10.469,-3.186,-1.059,-5.167,-1.463,0.947,-0.572,-0.026,-0.081,0.121,-0.423,-0.362,0.024,-0.301,4.696,4.758,28.258,30.704,30.211,43.56
Cc1ccc(/C=C/C(=O)c2ccc(N3CCNCC3)cc2)cc1,1,80.319,4.885,19.01,5.262,13.436,32.737,4.158,5.015,60,60,62,64,2.705,8.08,9.305,2.068,0.602,10.23,6.095,14.566,4.183,4.414,2.14,3.5,4.929,5.71,14.431,11.52,4.475,5.368,6.828,-2.966,-0.78,-3.872,-1.274,1.136,-0.365,0.1,-0.094,-0.004,-0.61,-0.126,-0.016,-0.145,2.654,2.555,20.263,26.234,25.781,32.34
