ID,Y,MACCS_82,MACCS_103,ECFP_24,ECFP_194,ECFP_363,ECFP_392,ECFP_482,ECFP_549,ECFP_642,ECFP_667,ECFP_910,ECFP_985,EEig01x,EEig03x,EEig01d,EEig02d,BELv4,BEHm1,BEHv3,JhetZ,EEig02x,BEHm3,H-046,EEig03d,nCs,BEHp2,qpmax,X4v,BELm5,TI2,MAXDP,BEHm4,STN,PCD,MPC09,EEig04d,Qpos,BEHm2,T(N..N),RCI,TPSA(NO),Qneg,DECC,VEA1,ESpm06d,Wap,Mor02v,MAXDN,AROM,H6v,EEig04r,T(N..O),Mor19p,BELm3,piPC06,R7v,H4u,RDF050e,GATS1v,Mor19u,H4m,R4u,H5m,MATS2p,R7u,H-051,R3u,Mor29v,H-047,IC4,ARR,MATS3m,Mor29u,nCrs,Mor08m,TIE,GATS1p,H3p,GATS3m,Mor05m,PCR,HATS4u,GATS1e,H8u,RDF095u,TE2,SPI,MATS4m,QXXe,GGI5,RDF020e,RDF070u,Mor07v,Tm,MATS8v,Ms,RDF030e,HATS5u,MATS2m,Mor05u,GGI9,R3v,RDF065p,GATS1m,RDF030m,RDF055e,MATS1p,Mor11u,Mor31u,IC1,Au,D/Dr06,Mor14u,MATS2e,MATS6m,RDF040u,RDF125m,SEigZ,DELS,H2e,HNar,Mor14m,HATS3u,Mor21u,Mor17m,CIC5,Mor20m,RDF040m,ALOGP,IC2,RDF085p,T(O..O),MATS6e,RDF130m,MATS7v,GATS4m,Rww,J3D,FDI,Mor13m,GATS2v,MATS3p,Mor17u,RDF065m,GATS6v,RDF140m,Mor09v,RDF135m,H-052,Mor21v
CHEMBL1025,6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.471,2.967,3.333,2.489,1.117,4.368,2.949,6.774,3.115,3.2089999999999996,0.0,2.156,2.0,3.285,1.571,1.585,0.653,2.612,4.703,2.331,0.0,0.688,0.0,-0.035,2.131,3.29,0.0,0.0,35.53,-2.131,0.9259999999999999,2.9619999999999997,7.46,164.0,7.605,5.11,0.0,0.008,0.698,0.0,0.483,1.249,1.609,0.166,0.775,13.307,1.555,1.1059999999999999,0.184,1.651,0.065,0.466,0.7140000000000001,0.0,1.499,-0.207,2.0,2.363,0.0,-0.831,-0.6659999999999999,0.0,-2.3480000000000003,36.488,2.432,0.249,2.458,-1.652,1.028,0.8079999999999999,1.371,0.452,0.0,5.191,8.185,-0.135,66.602,0.222,2.57,3.4330000000000003,0.72,6.037000000000001,0.0,3.04,7.696000000000001,0.861,-0.203,-3.8489999999999998,0.0,0.415,0.485,1.3019999999999998,3.97,6.518,-1.05,-0.9179999999999999,0.713,2.032,18.553,0.0,1.178,0.659,0.402,5.032,0.0,1.683,20.514,2.432,1.389,1.248,0.44,-0.539,-0.175,2.435,-0.355,2.61,1.3519999999999999,2.363,0.017,0.0,0.451,0.0,0.0,0.382,18.09,6.2829999999999995,0.934,-0.564,0.483,0.099,-1.193,0.1,0.0,0.0,0.151,0.0,12.0,-0.17600000000000002
CHEMBL1079905,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.635,3.596,3.988,3.562,1.531,3.983,3.306,2.331,3.944,3.426,5.0,3.403,4.0,3.5060000000000002,1.2819999999999998,2.783,1.433,3.678,5.608,3.195,3.367,18.177,67.0,2.965,4.8919999999999995,3.5460000000000003,10.0,1.3869999999999998,76.79,-2.892,1.4340000000000002,3.716,9.068999999999999,5103.0,22.108,2.026,0.961,0.10400000000000001,3.2710000000000004,53.0,0.655,1.681,5.438,0.22899999999999998,1.8230000000000002,25.419,1.045,1.621,0.271,1.525,0.107,0.248,0.833,5.0,1.8659999999999999,-0.34,7.0,4.863,0.217,-0.23199999999999998,-0.953,0.0,-1.472,60.096000000000004,1.105,0.846,1.153,-3.145,1.234,0.368,0.905,0.28600000000000003,15.290999999999999,12.187999999999999,14.175999999999998,0.094,278.744,0.809,6.547999999999999,19.701,3.302,13.845999999999998,0.33,2.52,17.831,0.292,0.174,-6.529,0.127,0.524,9.092,0.9179999999999999,3.4160000000000004,22.586,-0.336,-0.561,0.997,3.056,80.568,57.937,1.264,0.168,-0.127,14.245999999999999,0.0,1.321,32.159,3.345,1.7369999999999999,-0.214,0.377,-1.131,-0.21100000000000002,0.597,-0.077,5.627999999999999,1.24,4.555,5.859,20.0,-0.126,0.0,-0.193,0.97,22.114,2.983,0.941,-0.015,0.634,-0.223,-1.311,4.623,1.0170000000000001,0.0,-0.22699999999999998,0.0,4.0,-0.303
CHEMBL1082977,4.74,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.175,3.6289999999999996,3.134,2.806,1.42,3.862,3.536,1.795,3.8989999999999996,3.563,4.0,2.513,2.0,3.69,0.72,2.596,1.3719999999999999,4.258,1.64,3.089,5.375,35.556999999999995,62.0,2.259,3.991,3.7560000000000002,8.0,1.403,41.05,-3.991,1.578,3.9789999999999996,7.642,6528.0,23.898000000000003,0.8190000000000001,0.951,0.106,3.135,0.0,0.56,1.761,5.206,0.213,1.725,15.380999999999998,1.208,1.275,0.248,1.7530000000000001,0.129,0.524,0.6409999999999999,0.0,2.097,0.077,12.0,4.618,0.522,-0.382,-0.29100000000000004,2.0,-1.8319999999999999,23.82,1.208,0.9159999999999999,1.544,-3.909,1.4140000000000001,0.48100000000000004,1.208,0.149,11.104000000000001,11.635,5.92,0.095,173.952,0.486,6.92,15.714,2.946,18.141,-0.17600000000000002,1.92,16.427,0.33399999999999996,0.524,-6.335,0.02,0.638,6.301,1.208,3.1510000000000002,14.027000000000001,-0.248,-0.948,1.3619999999999999,3.2289999999999996,76.934,208.102,1.052,0.524,-0.235,15.600999999999999,0.071,0.5710000000000001,9.783999999999999,2.8169999999999997,2.066,-0.386,0.449,-1.173,-0.134,0.8079999999999999,0.973,2.9539999999999997,3.835,4.2860000000000005,7.124,0.0,-0.235,0.036000000000000004,-0.17600000000000002,1.263,14.52,2.127,0.968,-1.13,0.618,-0.382,-1.5019999999999998,4.675,1.176,0.0,-0.826,0.003,4.0,-0.322
CHEMBL1082978,5.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.173,3.614,3.13,2.7430000000000003,1.587,3.8539999999999996,3.475,1.704,3.897,3.513,0.0,2.565,3.0,3.682,0.72,2.496,1.4880000000000002,4.6739999999999995,1.59,3.176,5.193,35.457,47.0,1.871,3.991,3.772,8.0,1.402,41.05,-3.991,1.495,3.7089999999999996,7.563,5287.0,20.893,0.813,0.9520000000000001,0.08199999999999999,2.71,0.0,0.304,1.723,5.096,0.192,1.206,20.066,1.214,0.978,0.184,1.371,0.079,0.518,0.63,0.0,2.031,-0.107,12.0,4.522,0.545,-0.375,-0.537,2.0,-1.8880000000000001,20.969,1.214,0.807,1.484,-3.5060000000000002,1.4340000000000002,0.408,1.214,0.261,8.891,11.514000000000001,0.0,0.131,119.978,0.361,6.019,16.938,3.5060000000000002,17.203,-0.196,1.93,11.205,0.376,0.518,-5.42,0.057,0.578,6.486000000000001,1.214,1.689,15.389000000000001,-0.261,-0.51,1.218,3.1489999999999996,57.498999999999995,137.159,0.909,0.518,-0.265,14.085999999999999,0.098,0.5710000000000001,9.158,2.8689999999999998,2.1430000000000002,-0.596,0.461,-1.2670000000000001,-0.158,0.8,0.857,2.214,3.448,4.0280000000000005,3.0389999999999997,0.0,-0.265,0.218,-0.083,1.131,14.544,2.0469999999999997,0.965,-0.88,0.636,-0.375,-1.298,4.615,1.222,0.013999999999999999,-0.852,0.0,6.0,-0.425
CHEMBL1082979,4.58,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.17,3.6060000000000003,4.216,3.0780000000000003,1.514,3.926,3.4330000000000003,1.725,3.897,3.725,0.0,2.739,1.0,3.682,0.72,3.245,1.3719999999999999,4.763999999999999,1.6219999999999999,3.21,5.375,37.55,53.0,2.5380000000000003,4.4510000000000005,3.7969999999999997,8.0,1.402,41.05,-4.4510000000000005,1.578,3.8289999999999997,8.936,6343.0,20.212,0.8190000000000001,0.9520000000000001,0.111,2.677,0.0,0.405,1.692,5.1080000000000005,0.204,1.1440000000000001,19.226,1.163,1.083,0.204,1.41,0.12300000000000001,0.344,0.642,0.0,1.9069999999999998,-0.075,16.0,4.577,0.522,0.055,-0.501,0.0,-1.568,22.851999999999997,0.966,0.83,0.364,-3.193,1.429,0.40299999999999997,1.256,0.33,7.149,12.447000000000001,0.0,-0.028999999999999998,131.809,0.431,6.263999999999999,15.321,3.017,19.512,-0.149,1.92,10.565,0.40700000000000003,-0.044000000000000004,-5.16,0.067,0.609,7.811,0.96,2.509,17.823,-0.045,-0.415,1.0659999999999998,3.237,60.97,211.892,1.3230000000000002,0.47100000000000003,-0.111,17.375,2.424,1.196,9.665,2.928,2.136,-0.904,0.425,-1.2690000000000001,0.07,0.78,0.935,2.886,3.4189999999999996,4.095,2.966,0.0,-0.281,0.052000000000000005,-0.19399999999999998,0.518,14.798,2.084,0.96,-0.799,0.62,-0.304,-0.971,6.914,1.1,0.0,-0.604,0.23800000000000002,2.0,-0.43700000000000006
CHEMBL1082980,4.69,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.173,3.64,3.1510000000000002,2.755,1.5290000000000001,3.853,3.4619999999999997,1.7009999999999998,3.897,3.549,0.0,2.677,1.0,3.6689999999999996,0.72,2.585,1.3880000000000001,4.857,1.6380000000000001,3.1910000000000003,5.375,36.952,59.0,2.4819999999999998,4.801,3.7710000000000004,28.0,1.402,44.29,-4.801,1.7519999999999998,3.9019999999999997,7.731,7322.0,22.449,0.835,0.9520000000000001,0.10800000000000001,3.109,0.0,0.418,1.754,5.155,0.204,1.804,18.543,1.359,1.199,0.209,1.7109999999999999,0.102,0.361,0.6509999999999999,0.0,1.929,-0.066,19.0,4.675,0.5,-0.134,-0.573,0.0,-2.3280000000000003,24.594,1.359,0.9329999999999999,1.125,-4.167,1.4069999999999998,0.423,1.359,0.363,13.985999999999999,14.325,6.152,0.002,146.415,0.542,8.375,18.409000000000002,3.1319999999999997,20.143,-0.239,1.93,14.138,0.415,0.361,-6.159,0.087,0.62,5.632999999999999,1.359,3.0780000000000003,17.009,-0.353,-0.884,1.334,3.1060000000000003,72.6,225.09799999999998,1.278,0.361,-0.384,16.883,1.505,0.7140000000000001,10.347000000000001,3.035,2.063,-0.35700000000000004,0.375,-1.756,-0.21600000000000003,0.8170000000000001,1.075,2.7739999999999996,2.944,4.02,4.82,0.0,-0.384,0.175,0.11699999999999999,1.182,16.391,2.126,0.9590000000000001,-1.252,0.701,-0.134,-1.403,5.189,1.4240000000000002,0.07200000000000001,-0.667,0.768,2.0,-0.55
CHEMBL1082981,5.06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.173,3.64,3.1319999999999997,2.7439999999999998,1.5319999999999998,3.855,3.5410000000000004,1.689,3.897,3.568,4.0,2.5810000000000004,3.0,3.698,0.72,2.787,1.42,4.857,1.656,3.194,5.375,36.952,59.0,2.273,3.991,3.772,8.0,1.402,41.05,-3.991,1.7519999999999998,3.9019999999999997,7.642,7322.0,23.794,0.809,0.9520000000000001,0.133,3.1519999999999997,0.0,0.616,1.776,5.155,0.20199999999999999,1.8519999999999999,17.956,1.203,1.45,0.237,1.75,0.127,0.5379999999999999,0.618,0.0,2.101,-0.017,12.0,4.725,0.5,-0.326,-0.486,2.0,-2.124,26.371,1.203,0.956,1.4380000000000002,-4.145,1.4069999999999998,0.441,1.203,0.195,12.475,11.495,6.152,0.11599999999999999,151.953,0.542,7.159,19.387999999999998,3.02,20.149,-0.209,1.9,18.277,0.397,0.5379999999999999,-6.621,0.087,0.64,6.89,1.203,3.0789999999999997,16.913,-0.23600000000000002,-1.036,1.537,3.178,73.837,225.09799999999998,1.521,0.5379999999999999,-0.302,15.776,1.6780000000000002,0.5710000000000001,10.237,3.002,2.063,-0.225,0.40299999999999997,-1.671,-0.136,0.799,0.8270000000000001,2.693,4.156000000000001,4.295,3.321,0.0,-0.302,0.207,-0.099,1.255,16.391,2.164,0.958,-1.043,0.621,-0.326,-1.605,5.301,1.375,0.069,-0.695,1.392,6.0,-0.47100000000000003
CHEMBL1084210,5.26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.494,3.634,3.147,3.105,1.5930000000000002,4.0169999999999995,3.477,1.665,4.172,3.514,0.0,2.603,2.0,3.6860000000000004,0.72,3.1489999999999996,1.518,4.504,1.6540000000000001,3.332,6.957000000000001,61.464,92.0,2.24,4.291,3.827,8.0,1.425,41.05,-4.291,1.399,4.295,7.882000000000001,14143.0,25.509,0.828,0.946,0.14400000000000002,3.08,0.0,0.254,1.723,6.0489999999999995,0.23399999999999999,1.564,21.665,1.1520000000000001,0.847,0.278,1.4509999999999998,0.161,0.522,0.74,0.0,2.099,-0.023,14.0,4.822,0.654,-0.266,-0.444,2.0,-2.145,23.464000000000002,1.1520000000000001,1.093,1.311,-4.229,1.575,0.37200000000000005,1.1520000000000001,0.183,7.8839999999999995,12.457,0.0,0.14800000000000002,209.937,0.396,6.164,14.385,4.107,16.159000000000002,-0.213,1.93,13.22,0.36200000000000004,0.522,-6.587999999999999,0.086,0.693,8.265,1.1520000000000001,2.82,15.932,-0.209,-0.736,0.935,3.2460000000000004,75.388,181.90599999999998,0.826,0.522,-0.23,17.241,0.0,0.5710000000000001,10.286,3.103,2.19,-0.977,0.441,-1.1059999999999999,-0.001,0.512,1.2109999999999999,2.522,4.035,4.135,4.513,0.0,-0.23,0.008,-0.193,1.033,12.462,1.8430000000000002,0.9520000000000001,-1.3130000000000002,0.5710000000000001,-0.266,-1.139,6.957000000000001,1.2109999999999999,0.0,-1.182,0.0,4.0,-0.491
CHEMBL1084211,4.83,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.494,3.627,3.1510000000000002,3.109,1.5619999999999998,4.0169999999999995,3.397,1.65,4.169,3.4939999999999998,0.0,2.622,0.0,3.662,0.72,2.995,1.383,4.6530000000000005,1.885,3.332,7.138999999999999,64.844,98.0,2.312,4.851,3.82,8.0,1.425,50.28,-4.851,1.5,4.247,7.932,16623.0,25.428,0.902,0.946,0.147,3.077,20.0,0.27,1.715,6.053999999999999,0.237,1.495,21.82,1.145,0.855,0.31,1.5090000000000001,0.16699999999999998,0.276,0.745,0.0,1.9480000000000002,0.065,18.0,4.869,0.63,0.025,-0.222,0.0,-2.386,25.281999999999996,1.156,1.082,0.6890000000000001,-4.8069999999999995,1.5719999999999998,0.381,1.111,0.19399999999999998,11.171,13.936,0.0,0.016,221.55200000000002,0.465,10.17,15.05,3.903,16.934,-0.188,1.99,12.87,0.39899999999999997,0.18,-6.4110000000000005,0.09,0.7,9.074,1.114,3.5810000000000004,17.025,-0.239,-0.46,0.6679999999999999,3.3289999999999997,77.48,263.882,1.147,0.17300000000000001,-0.231,19.18,0.0,0.821,13.645999999999999,3.335,2.182,-0.86,0.38799999999999996,-1.4469999999999998,-0.031,0.5,1.365,3.0839999999999996,3.262,4.198,5.0360000000000005,0.0,-0.22899999999999998,0.005,0.047,0.768,12.719000000000001,1.87,0.946,-1.579,0.6759999999999999,-0.027000000000000003,-0.9059999999999999,7.162999999999999,1.197,0.0,-1.133,0.0,0.0,-0.568
CHEMBL1084212,4.89,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.494,3.627,4.216,3.1319999999999997,1.56,4.019,3.4360000000000004,1.662,4.169,3.733,0.0,3.0660000000000003,0.0,3.685,0.72,3.898,1.382,4.6530000000000005,1.686,3.341,7.138999999999999,64.844,98.0,2.5789999999999997,4.751,3.9139999999999997,8.0,1.426,41.05,-4.751,1.5,4.247,9.027000000000001,16623.0,25.164,0.835,0.946,0.154,3.076,0.0,0.381,1.6880000000000002,6.053999999999999,0.252,1.574,21.104,1.112,1.051,0.319,1.508,0.17,0.327,0.764,0.0,1.952,0.033,18.0,4.869,0.63,0.057,-0.396,0.0,-1.8359999999999999,25.239,0.9420000000000001,1.133,0.313,-3.927,1.5719999999999998,0.387,1.187,0.188,11.692,13.387,0.0,-0.01,221.363,0.465,6.397,14.600999999999999,3.84,17.368,-0.174,1.92,12.779000000000002,0.397,-0.025,-6.604,0.09,0.7240000000000001,11.465,0.929,3.642,18.349,-0.037000000000000005,-0.754,0.68,3.3289999999999997,75.735,263.882,1.034,0.484,-0.085,19.262999999999998,0.0,1.196,10.792,3.205,2.182,-1.305,0.39799999999999996,-1.003,0.079,0.5,1.298,3.2,4.007,4.198,8.568999999999999,0.0,-0.24600000000000002,0.0,-0.264,0.436,12.719000000000001,1.8840000000000001,0.9440000000000001,-0.927,0.561,-0.253,-1.136,10.383,1.115,0.0,-0.951,0.0,0.0,-0.40399999999999997
