ID,Y,MACCS_144,ECFP_21,ECFP_25,ECFP_45,ECFP_219,ECFP_352,ECFP_452,ECFP_654,ECFP_656,ECFP_680,ECFP_730,ECFP_765,ECFP_873,ECFP_936,EEig01x,HATS3u,BELm4,RDF010m,EEig02x,SPP,piPC10,H2u,Mor31u,H1u,TPSA(Tot),Q2,BEHv3,Mor14u,EEig02d,Mor14m,J,qnmax,TPSA(NO),EEig03x,MAXDN,Mor17v,BELe8,RBN,R1u,R6u,HOMA,BELm3,CIC4,BEHv7,L2v,PCD,RTe,HATS4u,GATS2m,Mor10v,HATS0u,Mor13u,BEHv2,As,EEig05x,Mor29m,BAC,MAXDP,Mor06u,EEig06d,Qtot,T(N..O),H5u,HNar,CIC1,Mor25u,HATS8u,RDF015m,DECC,EEig03d,RCI,HGM,R8u,RDF020m,GATS2v,H4e,BEHm3,Mor06v,Mor07m,SEigv,TE1,H7u,ATS8v,SEigZ,Qneg,Mor17u,HATS7u,EEig08x,BEHm1,QXXm,H-047,nBM,Mor20e,RDF040u,ESpm07d,RDF060u,RDF020e,R1m+,R2u,RDF105v,RDF055m,EEig05d,EEig15d,GGI4,HATS6u,GATS1p,RDF055u,H0e,Rww,Mor15m,T(O..O),GATS2p,ARR,VEA1,Mor04v,Lop,HATS3m,MATS2e,MATS2m,RDF095p,Mor21u,BEHm6,R5u,Mor04u,DP16,Mor20m,Mor12u,HATS5u,IC2,Jhetp,GGI3,GATS1m,H0v,RDF030m,R7u,H3u,R3u,E3v,HATS5m,IDDE,IVDE,RDF100u,X4v,MPC06,EEig04d,EEig04x,Mor27u,Mor18u,R4u,H8u
CHEMBL103879,4.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0.411,1.03,0.392,3.684,1.139,4.15,1.646,0.112,1.589,63.63,1.655,2.823,0.208,3.524,-0.902,1.902,-0.57,38.33,3.377,1.609,0.126,0,1,1.686,0.574,0.97,1.376,0.307,1.298,1.735,13.816,16.071,0.457,1.088,0.152,0.701,-0.228,3.239,8.425,1.982,0.225,6,4.017,-0.669,1.15,4.522,5,0.426,1.902,0.96,0.509,0.713,4.754,1.089,2.934,1.404,9.555,0.384,0.481,0.709,0.431,3.092,0.888,1.098,-2.266,10.994,0.027,0.413,1.268,-2.261,0.061,0.358,0.692,4.051,26.743,8,7,1.359,9.887,10.75,4.605,4.567,0.197,1.822,0,2.08,1.986,0,0.867,0.595,0.782,2.372,2.981,5.434,0.972,7,0.744,0.429,3.363,0.001,0.985,0.232,-0.028,-0.158,0.155,-0.611,2.414,0.953,0.457,2.026,0.785,-0.091,0.62,3.936,2.009,0.625,1,0.975,3.168,0.293,1.041,1.18,0.049,0.119,3.547,1.42,0,2.015,35,2.638,2.922,-0.118,-0.983,0.977,0.245
CHEMBL1089,6.84,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3.896,0.815,1.082,0.606,2.949,1.08,0,1.707,0.307,1.768,38.05,1.643,2.66,1.146,1.745,0.021,2.017,-0.72,38.05,2.5,0.663,-0.203,0,3,1.828,0.654,0.969,1.17,0.636,1.073,1.324,10.722,17.693,0.742,0.511,0.028,0.541,0.041,3.191,5.54,1.381,0.036,5,1.126,-2.336,-0.463,4.487,0,0.187,1.875,1.635,0.768,0.24,5.928,0.9,1.424,1.406,11.041,0.193,0.505,0.511,0.554,2.772,0.125,1.528,-0.878,11.068,0.121,0,0.286,-2.244,-0.471,0.463,-0.056,3.792,13.545,7,6,1.263,5.503,6.924,2.814,5.64,0.127,1.7,0,2.675,0.359,0,0.151,0.562,0.281,6.209,2.841,7.806,0.52,0,0.511,0.6,2.912,-0.202,1.661,0.065,0.023,0.023,0,-0.53,1.642,0.973,1.73,0.35,0.403,-1.276,0.663,3.352,2.093,0.188,0.281,0.823,1.011,0.446,1.431,1.914,0.112,0.068,2.722,0.922,0,0.861,8,1,2.43,-0.221,-1.117,1.435,0.071
CHEMBL1170237,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.595,0.342,1.478,0.616,4.44,1.466,7.411,2.896,0.158,2.275,64.92,2.976,3.269,0.398,3.143,-0.88,1.658,-0.85,64.92,3.674,1.832,-0.23,0.661,1,2.012,0.867,0.56,1.59,0.288,2.445,2.612,35.781,21.817,0.436,0.617,0.242,0.383,-0.503,3.624,25.793,3.292,-0.049,26,5.111,-1.613,1.904,6.98,13,0.675,1.818,1.087,0.613,0.542,7.989,1.05,2.939,1.414,7.048,0.701,2.638,0.483,1.253,3.768,-0.215,2.597,-2.433,20.229,0.124,2.488,1.65,-3.49,-0.56,0.388,2.216,6.842,157.404,10,13,1.249,14.042,9.855,12.786,5.299,0.581,1.778,0,19.694,2.362,-0.875,0.853,0.55,0.692,18.397,3.028,14.173,1.543,0,0.493,0.455,4.127,-1.519,0.716,0.285,0.212,-0.018,0.048,-0.011,2.922,1.175,-2.122,3.518,0.011,0.438,0.531,4.37,1.813,2.465,0.466,1.566,9.212,0.664,2.029,1.364,0.248,0.464,3.684,1.539,1.515,2.737,68,2.716,3.488,-0.27,-1.428,1.37,0.099
CHEMBL1173331,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0.413,1.356,0.608,4.344,1.466,7.337,2.537,-0.076,2.197,75.78,3.087,3.256,0.234,3.14,-0.934,1.634,-0.85,75.78,3.651,1.92,-0.269,0.355,1,1.954,0.687,0.56,1.526,0.158,2.316,2.429,36.332,20.887,0.528,0.625,0.12,0.415,-0.307,3.6,24.286,3.279,-0.069,17,4.743,-2.136,1.833,7.12,13,0.48,1.869,0.771,0.546,0.56,6.97,1.014,2.933,1.414,7.748,0.632,2.555,0.491,0.942,3.739,-0.393,2.697,-2.433,18.713,0.122,2.306,1.65,-3.56,-0.75,0.489,2.193,6.842,145.74,7,13,0.928,11.164,9.677,9.739,4.315,0.583,1.612,0,18.835,2.17,-1.078,0.808,0.423,0.643,13.131,3.125,12.466,1.32,0,0.499,0.476,4.061,-1.45,0.697,0.296,0.202,-0.021,0.013,0.178,2.828,1.15,-1.016,3.475,-0.004,0.13,0.633,4.59,1.838,1.993,0.464,1.565,7.191,0.727,1.94,1.446,0.174,0.485,3.722,1.529,1.881,2.518,63,2.71,3.455,-0.281,-1.084,1.366,0.106
CHEMBL1173525,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.563,0.411,1.367,0.648,4.337,1.466,7.202,2.564,0.059,2.234,75.78,3.107,3.222,0.5,3.059,-0.56,1.624,-0.85,75.78,3.52,1.909,-0.274,0.357,1,2.05,0.702,0.558,1.527,0.158,2.31,1.764,36.689,21.036,0.538,0.537,0.235,0.398,-0.289,3.596,17.528,3.046,0.225,10,4.685,-2.867,1.546,7.198,13,0.481,1.929,1.009,0.694,0.562,6.976,0.963,2.932,1.415,7.851,0.64,0.499,0.543,0.958,3.26,-0.732,4.099,-2.71,18.841,0.131,1.722,0.821,-3.599,-0.682,0.512,2.125,4.064,44.783,8,13,1.059,10.854,9.576,8.753,4.126,0.087,1.663,0,3.794,1.86,-1.289,0.457,0.416,0.963,12.584,2.994,11.103,0.376,0,0.547,0.5,3.979,-1.648,0.662,0.129,0.26,0.265,0.012,0.201,2.7,1.176,-1.327,3.355,0.455,-0.139,0.648,4.415,1.783,1.931,0.851,1.08,4.486,0.745,1.94,1.486,0.226,0.095,3.948,1.481,1.674,2.138,56,2.197,3.311,-0.244,-1.144,1.396,0.111
CHEMBL1241163,7.57,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.462,0.251,1.244,1.942,3.966,0.328,6.944,1.664,-1.675,1.39,30.21,0.505,3.433,-0.666,2.821,-1.899,1.475,-0.178,30.21,3.762,1.672,0.451,0.465,2,1.641,0.526,-77.912,1.629,0.347,2.571,0.655,52.096,18.904,0.22,0.898,5.636,0.186,-1.758,3.787,2.402,2.992,-0.391,2,5.238,2.24,1.471,3.357,0,0.594,2.073,2.437,2.177,0.151,20.371,1.285,2.531,0.829,4.354,0.471,0.761,0.898,0.9,3.44,0.28,-1.935,-1.908,14.18,0.357,2.487,0.5,-1.678,0.098,0.135,2.466,3.928,11.29,11,15,1.258,9.728,9.253,4.848,3.888,0.077,1.515,0,1.193,1.668,-1.118,0.898,0.104,0.718,5.956,1.934,9.728,-1.037,4,0.898,0.571,3.654,-1.678,0.447,0.044,-0.082,-0.082,0,-0.433,2.617,0.878,-4.035,0.322,0.75,-0.902,0.16,3.441,1.741,0.938,0.718,0.764,11.663,0.571,1.729,1.665,0,0.02,3.827,1.105,0,1.958,53,2.192,3.171,-0.679,-0.146,1.214,0.238
CHEMBL1241257,8.23,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4.462,0.25,1.214,2.004,4.044,0.355,7.007,1.67,-1.659,1.395,30.21,0.523,3.437,-0.774,2.937,-2.303,1.454,-0.178,30.21,3.8,1.697,0.377,0.453,2,1.668,0.529,-77.912,1.615,0.258,2.586,0.642,51.626,19.515,0.219,0.702,5.884,0.186,-1.833,3.793,2.753,3.144,-0.573,5,5.271,2.009,1.64,3.411,0,0.595,2,2.131,2.052,0.152,24.044,1.33,2.82,0.829,4.364,0.474,0.965,0.88,0.934,3.507,-0.007,-1.871,-1.908,15.442,0.354,2.641,1.147,-1.705,-0.019,0.135,2.5,3.959,12.14,10,15,1.356,9,9.4,4.535,3.725,0.29,1.532,0,1.187,2.165,-1,1.089,0.104,0.666,5.854,2.008,11.292,-1.028,4,0.824,0.545,3.717,-1.698,0.548,0.076,-0.1,-0.039,0,-0.688,2.816,0.881,-3.923,0.92,0.865,-0.78,0.161,3.833,1.737,1,0.485,0.862,12.082,0.573,1.73,1.677,0,0.023,3.784,1.295,0,2.094,57,2.409,3.452,-0.618,-0.235,1.22,0.237
CHEMBL1269118,5.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.205,0.649,1.159,0.38,3.952,1.039,6.055,1.887,0.261,1.961,30.21,1.079,3.234,0.096,2.881,-0.836,1.643,-0.57,30.21,3.662,2.022,-0.288,0,3,1.841,0.494,0.375,1.504,0.32,2.013,1.309,28.227,17.84,0.562,0.906,0.331,0.496,0.167,3.696,20.331,2.651,0.074,5,4.615,-2.283,1,4.381,0,0.354,1.92,1.842,0.67,0.444,6.259,1.336,2.527,1.416,9.029,0.423,0.217,0.959,0.648,3.309,-0.017,3.055,-3.348,9.129,0.068,1.935,0.833,-2.191,-0.741,0.381,2.118,3.876,26.545,8,13,0.957,7.735,9.036,4.605,2.146,0.126,1.521,0.587,2.54,1.349,-1.728,0.507,0.332,0.694,3.452,3.174,14.172,0.858,5,0.954,0.647,3.742,-0.484,0.625,0.161,-0.15,-0.136,0.857,-0.336,2.375,0.685,1.784,6.393,0.506,-0.814,0.426,3.783,1.842,0.597,0.639,1.134,1.784,0.424,1.605,1.62,0.223,0.118,3.375,1.299,1.312,1.254,28,1.966,3.023,-0.223,-0.841,1.041,0.001
CHEMBL13311,4.26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.363,0.391,0.876,1.052,3.456,0.3,4.523,1.164,-0.933,1.184,30.21,0.18,2.728,-0.422,2.814,-1.033,1.993,-0.15,30.21,3.022,1.66,0.246,0,0,1.419,0.371,-75.822,1.069,0,0.932,0.649,16.387,13.421,0.363,0.955,2.467,0.344,-1.214,3.285,0.686,2.422,-0.181,2,4.119,0.317,0.519,1.2,0,0.146,2,1.383,1.34,0,11.657,0.661,1.933,0.826,8.292,0,0.376,0.955,0.237,2.842,-0.175,-0.992,-1.908,4.429,0,0,0.5,-0.6,0.004,0.092,0.56,3.891,8.037,5,8,0.851,5.299,9.046,0,0.817,0.138,1.292,0,0,1.291,0,0.436,0.285,0.764,0,2.027,2.649,-0.689,4,0.955,0.5,3.157,-0.696,0.629,0.083,-0.16,-0.16,0,-0.331,1.443,0.733,-2.275,0,0.501,-0.311,0.384,3.499,2.147,0.688,0.764,0.644,4.057,0.086,0.97,1.532,0,0.046,3.278,1.241,0,1.032,23,1.352,2.799,-0.188,0.374,1.067,0
CHEMBL1344767,6.15,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4.253,0.538,1.334,0.436,4.029,1.211,6.188,1.897,0.098,1.86,30.21,1.241,3.282,-0.167,2.903,-1.462,1.639,-0.57,30.21,3.621,1.791,-0.43,0.105,3,1.774,0.48,0.363,1.6,0.456,2.217,1.228,27.876,17.542,0.572,0.722,0.182,0.462,0.323,3.729,19.574,2.755,-0.099,10,4.708,-1.778,1,4.43,0,0.37,1.855,1.652,0.71,0.361,7.242,1.26,2.62,1.417,7.64,0.406,2.177,0.953,0.797,3.724,0.106,1.201,-1.631,10.046,0.083,2.361,1.329,-2.215,-1.071,0.271,2.131,6.842,32.977,8,13,1.253,6.412,9.11,3.698,2.248,0.359,1.589,0.58,1.944,1.669,-1.699,0.752,0.3,0.565,3.266,3,15.79,1.475,3,0.847,0.611,3.696,-0.1,0.682,0.288,-0.193,-0.039,3.971,-0.476,2.617,0.662,2.082,8.683,0.176,-1.087,0.38,3.869,1.899,0.722,0.481,1.317,3.699,0.381,1.699,1.519,0.18,0.114,3.617,1.447,1.972,1.659,29,2.35,3.411,-0.254,-1.047,1.132,0.104
CHEMBL140,5.59,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.254,0.254,1.491,0.889,4.251,1.065,6.247,2.566,0.528,2.102,93.06,3.035,3.501,0.448,3.291,-0.946,1.603,-0.57,93.06,3.909,2.014,-0.136,0.734,8,1.953,0.934,0.457,1.699,1.181,2.806,1.729,53.952,24.867,0.336,0.903,0.727,0.265,-0.234,3.815,66.244,3.525,0.316,41,4.929,-3.036,2.31,8.916,0,1.506,1.78,2.186,1.326,0.23,12.673,2.085,3.126,1.404,4.921,0.437,0.756,0.903,2.07,3.58,0.538,3.967,-5.723,23.985,0.568,2.978,1.5,-4.458,-0.673,0.344,2.884,3.886,56.737,16,16,2.296,15.432,9.887,12.089,8.55,0.094,1.741,5.156,2.144,2.313,0.291,1.547,0.387,0.796,5.394,3.154,33.339,1.352,138,0.903,0.429,4.812,0.089,0.936,0.101,-0.131,-0.131,2.204,-1.327,2.959,1.234,4.607,15.141,1.216,-1.34,0.388,4.086,1.769,1.625,0.796,1.055,7.778,0.661,2.21,1.458,0.173,0.083,3.792,1.51,8.249,2.264,51,3.124,3.685,-0.231,-2.208,1.433,0.398
